GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	nt_length	aa_length
ENSMMUG00000009396.3	ENSMMUG00000009396.3	ENSMMUT00000013125.3	protein_coding	0	3	0	435	0	0	0	54	0	341	0	0	0	0	0	0	0	0	0	3	40	54653	156
ENSMMUG00000009396.3	ENSMMUG00000009396.3	ENSMMUT00000059541.1	protein_coding	0	19	6	449	37	0	0	53	0	322	6	0	0	0	3	0	0	0	0	16	40	57570	841
ENSMMUG00000009396.3	ENSMMUG00000009396.3	ENSMMUT00000064160.1	protein_coding	0	12	4	311	0	0	0	26	0	246	4	0	0	0	1	0	0	0	0	11	40	39503	466
ENSMMUG00000009396.3	ENSMMUG00000009396.3	ENSMMUT00000066509.1	protein_coding	0	11	3	318	0	0	0	28	0	250	3	0	0	0	0	0	0	0	0	11	40	39951	458
ENSMMUG00000000455.3	ENSMMUG00000000455.3	ENSMMUT00000000668.3	protein_coding	0	27	7	411	12	0	1	47	0	298	7	0	0	0	2	0	0	0	0	25	55	86349	1762
ENSMMUG00000000455.3	ENSMMUG00000000455.3	ENSMMUT00000024914.3	protein_coding	0	22	6	404	0	0	0	52	0	300	6	0	0	0	2	0	0	0	0	20	54	84660	1508
ENSMMUG00000020666.3	ENSMMUG00000020666.3	ENSMMUT00000029068.3	protein_coding	0	2	0	136	0	0	0	28	0	97	0	0	0	0	1	0	0	0	0	2	11	26286	141
ENSMMUG00000020666.3	ENSMMUG00000020666.3	ENSMMUT00000055844.1	protein_coding	0	5	0	277	7	3	9	42	0	211	0	0	0	0	1	0	0	0	0	2	8	75199	148
ENSMMUG00000020666.3	ENSMMUG00000020666.3	ENSMMUT00000058323.1	protein_coding	0	2	0	135	0	0	0	28	0	97	0	0	0	0	1	0	0	0	0	2	10	25944	157
ENSMMUG00000020666.3	ENSMMUG00000020666.3	ENSMMUT00000069297.1	protein_coding	0	2	0	136	0	0	0	28	0	97	0	0	0	0	1	0	0	0	0	2	11	26486	149
ENSMMUG00000020666.3	ENSMMUG00000020666.3	ENSMMUT00000074415.1	protein_coding	1	2	0	133	0	0	0	28	0	94	0	0	0	0	1	0	1	0	0	2	11	25492	148
ENSMMUG00000004480.3	ENSMMUG00000004480.3	ENSMMUT00000006346.3	protein_coding	0	7	2	93	9	0	1	27	0	5	2	0	0	0	0	0	0	0	0	7	51	2772	354
ENSMMUG00000049179.1	ENSMMUG00000049179.1	ENSMMUT00000061111.1	protein_coding	0	0	0	236	0	0	0	185	0	0	0	4	0	0	0	0	0	0	0	0	47	94	NA
ENSMMUG00000009281.3	ENSMMUG00000009281.3	ENSMMUT00000012974.3	protein_coding	0	25	8	585	6	0	2	66	0	445	8	0	0	0	3	0	0	0	0	22	69	137471	1274
ENSMMUG00000005430.3	ENSMMUG00000005430.3	ENSMMUT00000007640.3	protein_coding	0	6	0	241	17	0	0	78	0	81	0	0	0	0	0	0	0	0	0	6	65	14355	282
ENSMMUG00000005430.3	ENSMMUG00000005430.3	ENSMMUT00000068442.1	protein_coding	0	6	0	115	0	0	0	38	0	43	0	0	0	0	0	0	0	0	0	6	34	5535	398
ENSMMUG00000010860.3	ENSMMUG00000010860.3	ENSMMUT00000015190.3	protein_coding	0	28	24	492	0	0	0	25	0	403	24	0	0	0	0	0	0	0	0	28	64	114172	1720
ENSMMUG00000010860.3	ENSMMUG00000010860.3	ENSMMUT00000015191.3	protein_coding	0	28	25	502	11	0	0	25	0	402	25	0	0	0	0	0	0	0	0	28	64	117184	1776
ENSMMUG00000001084.3	ENSMMUG00000001084.3	ENSMMUT00000001541.3	protein_coding	0	34	28	858	0	0	2	34	0	787	28	0	0	0	9	0	0	0	0	27	42	123118	1558
ENSMMUG00000001084.3	ENSMMUG00000001084.3	ENSMMUT00000001543.3	protein_coding	0	32	22	865	0	0	0	34	1	782	22	0	0	0	7	0	0	0	0	25	55	121823	1498
ENSMMUG00000001084.3	ENSMMUG00000001084.3	ENSMMUT00000039828.2	protein_coding	0	32	26	862	0	0	0	34	0	790	26	0	0	0	7	0	0	0	0	26	44	122977	1474
ENSMMUG00000001084.3	ENSMMUG00000001084.3	ENSMMUT00000054425.1	protein_coding	0	17	17	635	0	0	0	34	0	572	17	0	0	0	2	0	0	0	0	16	30	81547	838
ENSMMUG00000001084.3	ENSMMUG00000001084.3	ENSMMUT00000055333.1	protein_coding	0	14	0	827	59	4	21	35	1	689	0	0	0	0	8	0	0	0	0	1	29	113187	132
ENSMMUG00000001084.3	ENSMMUG00000001084.3	ENSMMUT00000060204.1	protein_coding	0	31	22	866	0	0	0	34	0	763	22	0	0	0	7	0	0	0	0	25	75	120845	1465
ENSMMUG00000001084.3	ENSMMUG00000001084.3	ENSMMUT00000076285.1	protein_coding	0	7	7	494	0	0	0	34	0	438	7	0	0	0	0	0	0	0	0	7	22	57207	209
ENSMMUG00000001090.3	ENSMMUG00000001090.3	ENSMMUT00000001545.3	protein_coding	0	26	20	223	24	1	4	32	0	101	20	0	0	0	0	0	0	0	0	25	62	10383	838
ENSMMUG00000015168.3	ENSMMUG00000015168.3	ENSMMUT00000021266.3	protein_coding	0	1	1	275	0	0	0	40	0	211	1	0	0	0	0	0	0	0	0	1	24	37513	154
ENSMMUG00000015168.3	ENSMMUG00000015168.3	ENSMMUT00000068664.1	protein_coding	0	2	1	336	29	0	0	42	0	242	1	0	0	0	1	0	0	0	0	1	24	44874	220
ENSMMUG00000043605.1	ENSMMUG00000043605.1	ENSMMUT00000071832.1	protein_coding	1	76	121	246	0	0	0	89	0	50	121	0	0	0	0	0	1	0	0	76	107	18364	2382
ENSMMUG00000016195.3	ENSMMUG00000016195.3	ENSMMUT00000022753.3	protein_coding	0	7	0	277	56	0	2	44	0	47	0	0	0	0	1	0	0	0	0	7	128	5018	269
ENSMMUG00000014423.3	ENSMMUG00000014423.3	ENSMMUT00000008790.3	protein_coding	1	19	15	698	0	0	0	74	0	587	15	0	0	1	2	0	0	0	0	17	40	129216	1213
ENSMMUG00000014423.3	ENSMMUG00000014423.3	ENSMMUT00000020240.3	protein_coding	1	18	13	636	17	0	0	72	0	534	13	0	0	1	2	0	0	0	0	16	16	118909	1213
ENSMMUG00000014423.3	ENSMMUG00000014423.3	ENSMMUT00000061834.1	protein_coding	1	4	4	739	35	1	9	75	0	586	4	0	0	1	2	0	0	0	0	1	37	130221	154
ENSMMUG00000006944.3	ENSMMUG00000006944.3	ENSMMUT00000009704.3	protein_coding	0	8	1	454	0	0	0	49	0	310	1	0	0	0	0	0	0	0	0	8	95	18206	367
ENSMMUG00000023647.3	ENSMMUG00000023647.3	ENSMMUT00000033267.3	protein_coding	0	5	6	97	0	0	0	52	0	0	6	0	0	0	0	0	0	0	0	5	45	2728	902
ENSMMUG00000023171.3	ENSMMUG00000023171.3	ENSMMUT00000032590.3	protein_coding	0	6	6	171	0	0	0	61	0	67	6	0	0	0	1	0	0	0	1	5	43	9706	348
ENSMMUG00000023171.3	ENSMMUG00000023171.3	ENSMMUT00000032591.3	protein_coding	0	5	3	198	0	0	0	61	0	117	3	0	0	0	1	0	0	0	1	4	20	17208	293
ENSMMUG00000004766.3	ENSMMUG00000004766.3	ENSMMUT00000006730.3	protein_coding	0	14	10	460	0	0	4	80	0	287	10	0	0	0	2	0	0	0	0	12	91	45508	488
ENSMMUG00000004766.3	ENSMMUG00000004766.3	ENSMMUT00000006733.3	protein_coding	0	2	1	230	17	0	0	65	0	106	1	0	0	0	1	0	0	0	0	1	43	18928	156
ENSMMUG00000004766.3	ENSMMUG00000004766.3	ENSMMUT00000042769.2	protein_coding	0	12	8	461	0	0	0	79	0	288	8	0	0	0	1	0	0	0	0	11	95	45155	313
ENSMMUG00000004766.3	ENSMMUG00000004766.3	ENSMMUT00000069782.1	protein_coding	1	4	4	449	0	0	0	80	0	241	4	0	0	0	1	0	1	0	0	3	129	42177	287
ENSMMUG00000011186.3	ENSMMUG00000011186.3	ENSMMUT00000015640.2	protein_coding	0	6	7	272	0	0	0	30	0	160	7	0	0	0	0	0	0	0	0	6	82	11204	318
ENSMMUG00000011186.3	ENSMMUG00000011186.3	ENSMMUT00000015642.3	protein_coding	0	6	7	426	8	0	0	22	0	342	7	0	0	0	0	0	0	0	0	6	54	23601	334
ENSMMUG00000011186.3	ENSMMUG00000011186.3	ENSMMUT00000055497.1	protein_coding	0	6	9	418	0	0	0	30	0	320	9	0	0	0	1	0	0	0	0	6	68	22535	339
ENSMMUG00000011186.3	ENSMMUG00000011186.3	ENSMMUT00000073915.1	protein_coding	0	8	5	437	29	2	16	1	0	344	5	0	0	0	0	0	0	0	0	6	47	25446	311
ENSMMUG00000017601.3	ENSMMUG00000017601.3	ENSMMUT00000024752.3	protein_coding	0	11	2	90	0	0	0	15	0	70	2	0	0	0	3	0	0	0	0	8	8	6929	509
