Gene stable ID	Gene stable ID version	Human gene name	Mouse gene name	Gene name
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG3	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG3	Ceacam1	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG2	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG2	Ceacam1	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG11	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG11	Ceacam1	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG4	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG4	Ceacam1	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG6	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG6	Ceacam1	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG8	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG8	Ceacam1	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG1	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG1	Ceacam1	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG9	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG9	Ceacam1	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG5	Ceacam2	
ENSMMUG00000039210	ENSMMUG00000039210.1	PSG5	Ceacam1	
ENSMMUG00000006480	ENSMMUG00000006480.3	SLC22A13	Slc22a13b	SLC22A13
ENSMMUG00000006480	ENSMMUG00000006480.3	SLC22A13	Slc22a13	SLC22A13
ENSMMUG00000035400	ENSMMUG00000035400.2	RF00019		RF00019
ENSMMUG00000023869	ENSMMUG00000023869.2	RN7SKP239	Gm22481	RF00100
ENSMMUG00000036290	ENSMMUG00000036290.2	RNU6-991P	Gm24796	RF00026
ENSMMUG00000048924	ENSMMUG00000048924.1			
ENSMMUG00000023364	ENSMMUG00000023364.3	ATP8B2	Atp8b2	ATP8B2
ENSMMUG00000045670	ENSMMUG00000045670.1			
ENSMMUG00000047870	ENSMMUG00000047870.1			RF00017
ENSMMUG00000041021	ENSMMUG00000041021.1			RF00001
ENSMMUG00000015909	ENSMMUG00000015909.3	TEAD3	Tead3	TEAD3
ENSMMUG00000025920	ENSMMUG00000025920.2		n-R5s74	RF00001
ENSMMUG00000044944	ENSMMUG00000044944.1	RN7SL795P		RF00017
ENSMMUG00000042553	ENSMMUG00000042553.1			
ENSMMUG00000026662	ENSMMUG00000026662.2	RF00019		RF00019
ENSMMUG00000026925	ENSMMUG00000026925.3	MIR10A	Mir10a	mml-mir-10a
ENSMMUG00000043619	ENSMMUG00000043619.1			
ENSMMUG00000047979	ENSMMUG00000047979.1			
ENSMMUG00000042464	ENSMMUG00000042464.1			
ENSMMUG00000048166	ENSMMUG00000048166.1			RF01210
ENSMMUG00000047751	ENSMMUG00000047751.1	Z82206.1		
ENSMMUG00000018172	ENSMMUG00000018172.3	RPA2	Rpa2	RPA2
ENSMMUG00000039180	ENSMMUG00000039180.1	RF00019		RF00019
ENSMMUG00000039180	ENSMMUG00000039180.1	RF00019		RF00019
ENSMMUG00000039180	ENSMMUG00000039180.1	RF00019		RF00019
ENSMMUG00000039180	ENSMMUG00000039180.1	RF00019		RF00019
ENSMMUG00000039180	ENSMMUG00000039180.1	RF00019		RF00019
ENSMMUG00000039180	ENSMMUG00000039180.1	RF00019		RF00019
ENSMMUG00000039180	ENSMMUG00000039180.1	RF00019		RF00019
ENSMMUG00000039180	ENSMMUG00000039180.1	RF00019		RF00019
ENSMMUG00000034865	ENSMMUG00000034865.2	RN7SKP284	Gm25807	RF00100
ENSMMUG00000044979	ENSMMUG00000044979.1			
ENSMMUG00000039163	ENSMMUG00000039163.1			RF00017
ENSMMUG00000044657	ENSMMUG00000044657.1			
ENSMMUG00000046323	ENSMMUG00000046323.1			
ENSMMUG00000048724	ENSMMUG00000048724.1			
ENSMMUG00000037252	ENSMMUG00000037252.2			RF00001
ENSMMUG00000005231	ENSMMUG00000005231.3	TNFRSF13B	Tnfrsf13b	
ENSMMUG00000031593	ENSMMUG00000031593.2		Sarnp	
ENSMMUG00000048411	ENSMMUG00000048411.1			
ENSMMUG00000024741	ENSMMUG00000024741.2			RF00019
ENSMMUG00000040701	ENSMMUG00000040701.1			
ENSMMUG00000038678	ENSMMUG00000038678.1			
ENSMMUG00000033158	ENSMMUG00000033158.2			mml-mir-548a
ENSMMUG00000034713	ENSMMUG00000034713.2			RF00001
ENSMMUG00000046820	ENSMMUG00000046820.1	RN7SL571P		RF00017
ENSMMUG00000038145	ENSMMUG00000038145.1			
ENSMMUG00000035790	ENSMMUG00000035790.2	RF00019		RF00019
ENSMMUG00000036612	ENSMMUG00000036612.2			RF00026
ENSMMUG00000045617	ENSMMUG00000045617.1			
ENSMMUG00000036765	ENSMMUG00000036765.2	RN7SKP119	Gm22025	RF00100
ENSMMUG00000034658	ENSMMUG00000034658.2			RF00001
ENSMMUG00000041326	ENSMMUG00000041326.1	RN7SL382P	Gm22649	RF00017
ENSMMUG00000028944	ENSMMUG00000028944.2			
ENSMMUG00000034895	ENSMMUG00000034895.2	RNU6-387P	Gm22287	RF00026
ENSMMUG00000038947	ENSMMUG00000038947.1	CEBPZOS	Cebpzos	
ENSMMUG00000023886	ENSMMUG00000023886.2			RF00019
ENSMMUG00000041653	ENSMMUG00000041653.1			
ENSMMUG00000039962	ENSMMUG00000039962.1	RN7SL173P		RF00017
ENSMMUG00000047186	ENSMMUG00000047186.1			
ENSMMUG00000034178	ENSMMUG00000034178.2			RF00001
ENSMMUG00000040963	ENSMMUG00000040963.1			
ENSMMUG00000045227	ENSMMUG00000045227.1			
ENSMMUG00000032764	ENSMMUG00000032764.2			
ENSMMUG00000037173	ENSMMUG00000037173.2	RNU6-118P		RF00026
ENSMMUG00000030930	ENSMMUG00000030930.2	IGHG3		
ENSMMUG00000030930	ENSMMUG00000030930.2	IGHG4		
ENSMMUG00000030930	ENSMMUG00000030930.2	IGHG1		
ENSMMUG00000030930	ENSMMUG00000030930.2	IGHG2		
ENSMMUG00000024240	ENSMMUG00000024240.2	RF00019		RF00019
ENSMMUG00000037613	ENSMMUG00000037613.1			
ENSMMUG00000034277	ENSMMUG00000034277.2		n-R5s153	RF00001
ENSMMUG00000046006	ENSMMUG00000046006.1			
ENSMMUG00000042195	ENSMMUG00000042195.1	RN7SL193P		RF00017
ENSMMUG00000041308	ENSMMUG00000041308.1	HIST3H2A	Hist3h2a	HIST3H2A
ENSMMUG00000040175	ENSMMUG00000040175.1			
ENSMMUG00000006402	ENSMMUG00000006402.3	ZNF830	Zfp830	ZNF830
ENSMMUG00000034256	ENSMMUG00000034256.2	RN7SKP182	Gm24857	RF00100
ENSMMUG00000016434	ENSMMUG00000016434.3	NDUFAF7	Ndufaf7	NDUFAF7
ENSMMUG00000024585	ENSMMUG00000024585.2	RF00019		RF00019
ENSMMUG00000005960	ENSMMUG00000005960.3	TMBIM6	Tmbim6	TMBIM6
ENSMMUG00000040081	ENSMMUG00000040081.1		Impa1	
ENSMMUG00000027268	ENSMMUG00000027268.2			mml-mir-551a
ENSMMUG00000041614	ENSMMUG00000041614.1			
ENSMMUG00000007688	ENSMMUG00000007688.3	AMOT	Amot	AMOT
ENSMMUG00000039832	ENSMMUG00000039832.1			
ENSMMUG00000009140	ENSMMUG00000009140.3	TAF9	Ak6	TAF9
ENSMMUG00000009140	ENSMMUG00000009140.3	TAF9	Taf9	TAF9
ENSMMUG00000042188	ENSMMUG00000042188.1	RN7SL513P		RF00017
ENSMMUG00000038515	ENSMMUG00000038515.1			RF00001
ENSMMUG00000041344	ENSMMUG00000041344.1			
ENSMMUG00000027207	ENSMMUG00000027207.2	MIR590		mml-mir-590
ENSMMUG00000037878	ENSMMUG00000037878.1			
ENSMMUG00000046224	ENSMMUG00000046224.1			
ENSMMUG00000036288	ENSMMUG00000036288.2			MIR762-2
ENSMMUG00000043666	ENSMMUG00000043666.1	RNU6-928P		RF00026
ENSMMUG00000045626	ENSMMUG00000045626.1	RN7SL91P	Gm27853	RF00017
ENSMMUG00000025849	ENSMMUG00000025849.3	RF00019		RF00019
ENSMMUG00000026495	ENSMMUG00000026495.2			RF00001
ENSMMUG00000043140	ENSMMUG00000043140.1			
ENSMMUG00000038029	ENSMMUG00000038029.1			
ENSMMUG00000034698	ENSMMUG00000034698.2	RN7SKP137		RF00100
ENSMMUG00000023303	ENSMMUG00000023303.3	EVI5L	Evi5l	EVI5L
ENSMMUG00000026429	ENSMMUG00000026429.2	RF00019		RF00019
ENSMMUG00000040418	ENSMMUG00000040418.1	RN7SL484P		RF00017
ENSMMUG00000040418	ENSMMUG00000040418.1	RN7SL209P		RF00017
ENSMMUG00000002111	ENSMMUG00000002111.2			
ENSMMUG00000017008	ENSMMUG00000017008.3	GIMAP2		GIMAP2
ENSMMUG00000038136	ENSMMUG00000038136.1			
ENSMMUG00000048563	ENSMMUG00000048563.1			
ENSMMUG00000025624	ENSMMUG00000025624.2		Gm27490	RF00001
ENSMMUG00000028242	ENSMMUG00000028242.2	RNU6-1311P	Gm23058	RF00026
ENSMMUG00000039228	ENSMMUG00000039228.1			
ENSMMUG00000043232	ENSMMUG00000043232.1			
ENSMMUG00000009346	ENSMMUG00000009346.3	AGAP1	Agap1	AGAP1
ENSMMUG00000035531	ENSMMUG00000035531.2			
ENSMMUG00000038359	ENSMMUG00000038359.1			
ENSMMUG00000045327	ENSMMUG00000045327.1			
ENSMMUG00000032809	ENSMMUG00000032809.2	MIR642A		mml-mir-642
ENSMMUG00000042300	ENSMMUG00000042300.1	RF00017		RF00017
ENSMMUG00000035501	ENSMMUG00000035501.2			RF00001
ENSMMUG00000041608	ENSMMUG00000041608.1			
ENSMMUG00000004273	ENSMMUG00000004273.3	DOCK3	Dock3	DOCK3
ENSMMUG00000034829	ENSMMUG00000034829.2	RN7SKP235	Gm24734	RF00100
ENSMMUG00000041297	ENSMMUG00000041297.1	RN7SL277P		RF00017
ENSMMUG00000032630	ENSMMUG00000032630.2	MIR665	Mir665	mml-mir-665
ENSMMUG00000035158	ENSMMUG00000035158.2	RF00019		RF00019
ENSMMUG00000024867	ENSMMUG00000024867.2	RF00019		RF00019
ENSMMUG00000042121	ENSMMUG00000042121.1			
ENSMMUG00000045922	ENSMMUG00000045922.1			
ENSMMUG00000001918	ENSMMUG00000001918.3	TMEM165	Tmem165	TMEM165
ENSMMUG00000043027	ENSMMUG00000043027.1			
ENSMMUG00000025928	ENSMMUG00000025928.2		Gm23662	RF00001
ENSMMUG00000017101	ENSMMUG00000017101.3	CTPS1	Ctps	CTPS1
ENSMMUG00000022529	ENSMMUG00000022529.2	RPRM	Rprm	RPRM
ENSMMUG00000045476	ENSMMUG00000045476.1			
ENSMMUG00000038564	ENSMMUG00000038564.1			
ENSMMUG00000039804	ENSMMUG00000039804.1		1500009C09Rik	
ENSMMUG00000035585	ENSMMUG00000035585.2			
ENSMMUG00000034853	ENSMMUG00000034853.2			
ENSMMUG00000023755	ENSMMUG00000023755.3	MAP2K7	Gm49320	MAP2K7
ENSMMUG00000023755	ENSMMUG00000023755.3	MAP2K7	Map2k7	MAP2K7
ENSMMUG00000039437	ENSMMUG00000039437.1			MIR4743
ENSMMUG00000045854	ENSMMUG00000045854.1			
ENSMMUG00000030089	ENSMMUG00000030089.2			RF00017
ENSMMUG00000042396	ENSMMUG00000042396.1			
ENSMMUG00000038857	ENSMMUG00000038857.1			
ENSMMUG00000035417	ENSMMUG00000035417.2			RF00001
ENSMMUG00000024226	ENSMMUG00000024226.2	RF00019		RF00019
ENSMMUG00000041602	ENSMMUG00000041602.1			RF00017
ENSMMUG00000027637	ENSMMUG00000027637.2	RF00019		RF00019
ENSMMUG00000014427	ENSMMUG00000014427.3	KIF2B	Kif2b	KIF2B
ENSMMUG00000043434	ENSMMUG00000043434.1		Map1lc3b	
ENSMMUG00000024790	ENSMMUG00000024790.2	RNU6-654P		RF00026
ENSMMUG00000036002	ENSMMUG00000036002.2	RN7SKP242		RF00100
ENSMMUG00000000223	ENSMMUG00000000223.3	HTR1E		HTR1E
ENSMMUG00000035356	ENSMMUG00000035356.2			RF00001
ENSMMUG00000033517	ENSMMUG00000033517.2	MIR208B	Mir208b	mml-mir-208b
ENSMMUG00000027129	ENSMMUG00000027129.3	MIRLET7A1	Mirlet7a-1	mml-let-7a-1
ENSMMUG00000042049	ENSMMUG00000042049.1			
ENSMMUG00000038475	ENSMMUG00000038475.1			
ENSMMUG00000047070	ENSMMUG00000047070.1			
ENSMMUG00000034599	ENSMMUG00000034599.2	RNU6-375P		RF00026
ENSMMUG00000033401	ENSMMUG00000033401.2			
ENSMMUG00000035041	ENSMMUG00000035041.2		Gm22651	RF00001
ENSMMUG00000033833	ENSMMUG00000033833.2			
ENSMMUG00000025886	ENSMMUG00000025886.2	RF00019		RF00019
ENSMMUG00000038767	ENSMMUG00000038767.1	RN7SL709P	Gm27853	RF00017
ENSMMUG00000043889	ENSMMUG00000043889.1	IGKV2-28		
ENSMMUG00000043889	ENSMMUG00000043889.1	IGKV2D-28		
ENSMMUG00000046562	ENSMMUG00000046562.1	RN7SL310P		RF00017
ENSMMUG00000022734	ENSMMUG00000022734.3	PPP1R2C		PPP1R2C
ENSMMUG00000019833	ENSMMUG00000019833.3	FCRL1	Fcrl1	FCRL1
ENSMMUG00000034970	ENSMMUG00000034970.2	RF00019		RF00019
ENSMMUG00000038840	ENSMMUG00000038840.1			
ENSMMUG00000009934	ENSMMUG00000009934.3		Golga2	
ENSMMUG00000034965	ENSMMUG00000034965.2	RN7SKP178	Gm24441	RF00100
ENSMMUG00000035674	ENSMMUG00000035674.2	RF01210		RF01210
ENSMMUG00000025300	ENSMMUG00000025300.2		Gm23899	RF00001
ENSMMUG00000025300	ENSMMUG00000025300.2		n-R5s182	RF00001
ENSMMUG00000025300	ENSMMUG00000025300.2		n-R5s76	RF00001
ENSMMUG00000041628	ENSMMUG00000041628.1			
ENSMMUG00000039328	ENSMMUG00000039328.1			
ENSMMUG00000041435	ENSMMUG00000041435.1			
ENSMMUG00000044275	ENSMMUG00000044275.1			
ENSMMUG00000026934	ENSMMUG00000026934.2	MIR200C	Mir200c	mml-mir-200c
ENSMMUG00000044455	ENSMMUG00000044455.1			
ENSMMUG00000010956	ENSMMUG00000010956.2	SOCS1	Socs1	SOCS1
ENSMMUG00000048489	ENSMMUG00000048489.1			RF00001
ENSMMUG00000018689	ENSMMUG00000018689.3	GOSR2	Gosr2	GOSR2
ENSMMUG00000018689	ENSMMUG00000018689.3	AC005670.2	Gosr2	GOSR2
ENSMMUG00000047832	ENSMMUG00000047832.1			
ENSMMUG00000034031	ENSMMUG00000034031.2			
ENSMMUG00000029197	ENSMMUG00000029197.2	YY1	Yy1	YY1
ENSMMUG00000040599	ENSMMUG00000040599.1	MIR326	Mir326	MIR326
ENSMMUG00000039396	ENSMMUG00000039396.1	RN7SL794P	Gm22876	RF00017
ENSMMUG00000048837	ENSMMUG00000048837.1	RN7SL446P		RF00017
ENSMMUG00000036651	ENSMMUG00000036651.2	RF00019		RF00019
ENSMMUG00000035784	ENSMMUG00000035784.2			RF00100
ENSMMUG00000026665	ENSMMUG00000026665.2	RF00019		RF00019
ENSMMUG00000024378	ENSMMUG00000024378.2			RF00001
ENSMMUG00000023723	ENSMMUG00000023723.3		Timm17b	
ENSMMUG00000032823	ENSMMUG00000032823.2			mml-mir-627
ENSMMUG00000033458	ENSMMUG00000033458.2			
ENSMMUG00000036118	ENSMMUG00000036118.2	RNU6-899P		RF00026
ENSMMUG00000039763	ENSMMUG00000039763.1			
ENSMMUG00000018188	ENSMMUG00000018188.3	GDPD4	Gdpd4	GDPD4
ENSMMUG00000040797	ENSMMUG00000040797.1			
ENSMMUG00000042533	ENSMMUG00000042533.1			
ENSMMUG00000039694	ENSMMUG00000039694.1			
ENSMMUG00000032799	ENSMMUG00000032799.2			
ENSMMUG00000043896	ENSMMUG00000043896.1			RF00017
ENSMMUG00000035757	ENSMMUG00000035757.2			
ENSMMUG00000038319	ENSMMUG00000038319.1	RN7SL817P		RF00017
ENSMMUG00000037861	ENSMMUG00000037861.1			RF00001
ENSMMUG00000018075	ENSMMUG00000018075.3	YY1AP1	Gon4l	YY1AP1
ENSMMUG00000033998	ENSMMUG00000033998.2			
ENSMMUG00000038737	ENSMMUG00000038737.1	HIST1H2BA	Hist1h2ba	HIST1H2BA
ENSMMUG00000025181	ENSMMUG00000025181.2	RF00019	Gm22199	RF00019
ENSMMUG00000025181	ENSMMUG00000025181.2	RF00019	Gm24877	RF00019
ENSMMUG00000035133	ENSMMUG00000035133.2	RN7SKP166		RF00100
ENSMMUG00000038643	ENSMMUG00000038643.1	RF00019		RF00019
ENSMMUG00000031976	ENSMMUG00000031976.2	PRPH	Prph	PRPH
ENSMMUG00000012157	ENSMMUG00000012157.3	USP29	Usp29	USP29
ENSMMUG00000024052	ENSMMUG00000024052.2		Gm23956	RF00001
ENSMMUG00000040616	ENSMMUG00000040616.1	ARHGAP21	Arhgap21	ARHGAP21
ENSMMUG00000008869	ENSMMUG00000008869.3	TNFAIP3	Tnfaip3	TNFAIP3
ENSMMUG00000027096	ENSMMUG00000027096.2	MIR339	Mir339	mml-mir-339
ENSMMUG00000046529	ENSMMUG00000046529.1			
ENSMMUG00000047472	ENSMMUG00000047472.1			
ENSMMUG00000037652	ENSMMUG00000037652.1	RPS27	Rps27	
ENSMMUG00000042741	ENSMMUG00000042741.1			RF00017
ENSMMUG00000036744	ENSMMUG00000036744.2			
ENSMMUG00000046266	ENSMMUG00000046266.1			
ENSMMUG00000041677	ENSMMUG00000041677.1			
ENSMMUG00000035565	ENSMMUG00000035565.2	RNU6-551P	Gm25985	RF00026
ENSMMUG00000046739	ENSMMUG00000046739.1			RF00001
ENSMMUG00000042685	ENSMMUG00000042685.1			
ENSMMUG00000038318	ENSMMUG00000038318.1	RN7SL563P	Gm22649	RF00017
ENSMMUG00000033905	ENSMMUG00000033905.2			
ENSMMUG00000039271	ENSMMUG00000039271.1			RF00019
ENSMMUG00000042451	ENSMMUG00000042451.1	RF00019		RF00019
ENSMMUG00000038094	ENSMMUG00000038094.1	H3F3A	H3f3a	
ENSMMUG00000035224	ENSMMUG00000035224.2			RF00100
ENSMMUG00000031914	ENSMMUG00000031914.2	KRT79	Krt79	KRT79
ENSMMUG00000040132	ENSMMUG00000040132.1			
ENSMMUG00000036407	ENSMMUG00000036407.2	RF01210		RF01210
ENSMMUG00000048157	ENSMMUG00000048157.1			
ENSMMUG00000018456	ENSMMUG00000018456.3	PBX2	Pbx2	PBX2
ENSMMUG00000023179	ENSMMUG00000023179.3			
ENSMMUG00000047944	ENSMMUG00000047944.1			
ENSMMUG00000032716	ENSMMUG00000032716.2	MIR548AS		
ENSMMUG00000048234	ENSMMUG00000048234.1			
ENSMMUG00000046968	ENSMMUG00000046968.1			
ENSMMUG00000024977	ENSMMUG00000024977.2		Gm25908	RF00001
ENSMMUG00000024977	ENSMMUG00000024977.2		Gm25329	RF00001
ENSMMUG00000016466	ENSMMUG00000016466.3	TP63	Trp63	TP63
ENSMMUG00000040925	ENSMMUG00000040925.1			
ENSMMUG00000040520	ENSMMUG00000040520.1	RN7SL741P		RF00017
ENSMMUG00000039561	ENSMMUG00000039561.1	MIR33A	Mir33	mml-mir-33a
ENSMMUG00000046734	ENSMMUG00000046734.1			RF00001
ENSMMUG00000018527	ENSMMUG00000018527.3		Doc2g	
ENSMMUG00000028387	ENSMMUG00000028387.2	RNU6-832P		RF00026
ENSMMUG00000031989	ENSMMUG00000031989.2			
ENSMMUG00000039462	ENSMMUG00000039462.1	RN7SL426P		RF00017
ENSMMUG00000048897	ENSMMUG00000048897.1			
ENSMMUG00000012440	ENSMMUG00000012440.3	UNKL	Unkl	
ENSMMUG00000024435	ENSMMUG00000024435.2	RF00019		RF00019
ENSMMUG00000048945	ENSMMUG00000048945.1	RF00019		RF00019
ENSMMUG00000037271	ENSMMUG00000037271.2	RN7SKP238	Gm24841	RF00100
ENSMMUG00000007296	ENSMMUG00000007296.3	GABRA1	Gabra1	GABRA1
ENSMMUG00000048279	ENSMMUG00000048279.1			
ENSMMUG00000024203	ENSMMUG00000024203.2	RNU6-681P		RF00026
ENSMMUG00000033684	ENSMMUG00000033684.2			
ENSMMUG00000038904	ENSMMUG00000038904.1			
ENSMMUG00000038586	ENSMMUG00000038586.1	TOMM7	Tomm7	
ENSMMUG00000042136	ENSMMUG00000042136.1			
ENSMMUG00000039350	ENSMMUG00000039350.1			
ENSMMUG00000034991	ENSMMUG00000034991.2			RF00001
ENSMMUG00000022386	ENSMMUG00000022386.2	NXT1	Nxt1	NXT1
ENSMMUG00000041470	ENSMMUG00000041470.1	RF00017		RF00017
ENSMMUG00000032631	ENSMMUG00000032631.2			
ENSMMUG00000044786	ENSMMUG00000044786.1	RN7SL505P		RF00017
ENSMMUG00000047188	ENSMMUG00000047188.1			
ENSMMUG00000032842	ENSMMUG00000032842.2	RNU6-337P		RF00026
ENSMMUG00000022173	ENSMMUG00000022173.3	C1orf116	AA986860	C1orf116
ENSMMUG00000002662	ENSMMUG00000002662.3			
ENSMMUG00000017141	ENSMMUG00000017141.3	NUDT5	Nudt5	NUDT5
ENSMMUG00000043455	ENSMMUG00000043455.1			RF00001
ENSMMUG00000024140	ENSMMUG00000024140.2	RF00019		RF00019
ENSMMUG00000038562	ENSMMUG00000038562.1	SRSF10	Srsf10	
ENSMMUG00000024792	ENSMMUG00000024792.2	RF00019		RF00019
ENSMMUG00000037347	ENSMMUG00000037347.2	RN7SKP258	Gm23120	RF00100
ENSMMUG00000037347	ENSMMUG00000037347.2	RN7SKP258	Gm22533	RF00100
ENSMMUG00000046672	ENSMMUG00000046672.1			RF01210
ENSMMUG00000032763	ENSMMUG00000032763.2			
ENSMMUG00000012920	ENSMMUG00000012920.3		Wdr82	
ENSMMUG00000000639	ENSMMUG00000000639.3	NEFM		NEFM
ENSMMUG00000043785	ENSMMUG00000043785.1			
ENSMMUG00000044727	ENSMMUG00000044727.1			
ENSMMUG00000041635	ENSMMUG00000041635.1	MIR3618	Gm24572	MIR3618
ENSMMUG00000033232	ENSMMUG00000033232.2	RNU6-1000P		RF00026
ENSMMUG00000039049	ENSMMUG00000039049.1			
ENSMMUG00000042165	ENSMMUG00000042165.1			
ENSMMUG00000038979	ENSMMUG00000038979.1			RF00017
ENSMMUG00000037024	ENSMMUG00000037024.2	RNU6-215P		RF00026
ENSMMUG00000037756	ENSMMUG00000037756.1	MAF	Maf	MAF
ENSMMUG00000026399	ENSMMUG00000026399.2		n-R5s19	RF00001
ENSMMUG00000037758	ENSMMUG00000037758.1	RF00019		RF00019
ENSMMUG00000017971	ENSMMUG00000017971.2	NACC1	Nacc1	NACC1
ENSMMUG00000045479	ENSMMUG00000045479.1	RN7SL20P		RF00017
ENSMMUG00000045730	ENSMMUG00000045730.1		Gm24808	RF00001
ENSMMUG00000046656	ENSMMUG00000046656.1	TBX2	Tbx2	
ENSMMUG00000034950	ENSMMUG00000034950.2	RN7SKP73		RF00100
ENSMMUG00000042541	ENSMMUG00000042541.1			
ENSMMUG00000028480	ENSMMUG00000028480.2	RNY3P4		RF00019
ENSMMUG00000032913	ENSMMUG00000032913.2	MIR525		mml-mir-525
ENSMMUG00000046880	ENSMMUG00000046880.1			MIR519B
ENSMMUG00000032804	ENSMMUG00000032804.2			
ENSMMUG00000046265	ENSMMUG00000046265.1			
ENSMMUG00000035988	ENSMMUG00000035988.2			
ENSMMUG00000028608	ENSMMUG00000028608.2			
ENSMMUG00000027156	ENSMMUG00000027156.2	MIR577		mml-mir-577
ENSMMUG00000045382	ENSMMUG00000045382.1		H3f3a	
ENSMMUG00000043650	ENSMMUG00000043650.1	RF00017		RF00017
ENSMMUG00000034159	ENSMMUG00000034159.2	RNU6-745P		RF00026
ENSMMUG00000023076	ENSMMUG00000023076.3	DGKH	Dgkh	DGKH
ENSMMUG00000038604	ENSMMUG00000038604.1			
ENSMMUG00000028017	ENSMMUG00000028017.2	RF00019		RF00019
ENSMMUG00000033588	ENSMMUG00000033588.2			
ENSMMUG00000042672	ENSMMUG00000042672.1			
ENSMMUG00000049191	ENSMMUG00000049191.1			RF00001
ENSMMUG00000044327	ENSMMUG00000044327.1	RN7SL57P		RF00017
ENSMMUG00000032969	ENSMMUG00000032969.2		n-R5s201	RF00001
ENSMMUG00000040127	ENSMMUG00000040127.1	MIR518C		mml-mir-518c
ENSMMUG00000025264	ENSMMUG00000025264.2	RNU6-461P		RF00026
ENSMMUG00000036221	ENSMMUG00000036221.2			RF00019
ENSMMUG00000042762	ENSMMUG00000042762.1	TAFA5	Tafa5	TAFA5
ENSMMUG00000034803	ENSMMUG00000034803.2	RN7SKP161		RF00100
ENSMMUG00000033624	ENSMMUG00000033624.2			
ENSMMUG00000046758	ENSMMUG00000046758.1			
ENSMMUG00000038073	ENSMMUG00000038073.1			
ENSMMUG00000048711	ENSMMUG00000048711.1			
ENSMMUG00000045840	ENSMMUG00000045840.1	RN7SL320P		RF00017
ENSMMUG00000026168	ENSMMUG00000026168.2	RNU6-805P	Gm24283	RF00026
ENSMMUG00000025209	ENSMMUG00000025209.2	RF00019		RF00019
ENSMMUG00000033046	ENSMMUG00000033046.2			mml-mir-603
ENSMMUG00000047500	ENSMMUG00000047500.1	RNU6-354P	Gm25579	RF00026
ENSMMUG00000045997	ENSMMUG00000045997.1	RN7SL111P		RF00017
ENSMMUG00000041395	ENSMMUG00000041395.1	MIR523		MIR523A
ENSMMUG00000038938	ENSMMUG00000038938.1			RF00001
ENSMMUG00000033048	ENSMMUG00000033048.2	MIR20B		mml-mir-20b
ENSMMUG00000027369	ENSMMUG00000027369.2	RNU6-141P		RF00026
ENSMMUG00000037226	ENSMMUG00000037226.2			RF00001
ENSMMUG00000041336	ENSMMUG00000041336.1			
ENSMMUG00000034378	ENSMMUG00000034378.2			
ENSMMUG00000034756	ENSMMUG00000034756.2	RN7SKP110	Gm26028	RF00100
ENSMMUG00000026010	ENSMMUG00000026010.2	RF00019		RF00019
ENSMMUG00000046547	ENSMMUG00000046547.1			
ENSMMUG00000000800	ENSMMUG00000000800.3	PSMD2	Psmd2	PSMD2
ENSMMUG00000037167	ENSMMUG00000037167.2			MIR762-3
ENSMMUG00000004006	ENSMMUG00000004006.3	CYP2C9		CYP2C9
ENSMMUG00000037745	ENSMMUG00000037745.1			
ENSMMUG00000022684	ENSMMUG00000022684.3	OR3A1	Olfr410	OR3A1
ENSMMUG00000022684	ENSMMUG00000022684.3	OR3A1	Olfr401	OR3A1
ENSMMUG00000022684	ENSMMUG00000022684.3	OR3A1	Olfr402	OR3A1
ENSMMUG00000021716	ENSMMUG00000021716.3	DPP9	Dpp9	DPP9
ENSMMUG00000025380	ENSMMUG00000025380.2	RF00019		RF00019
ENSMMUG00000048125	ENSMMUG00000048125.1			RF00017
ENSMMUG00000037395	ENSMMUG00000037395.2	RNU6-679P		RF00026
ENSMMUG00000034076	ENSMMUG00000034076.2			
ENSMMUG00000011862	ENSMMUG00000011862.3	FAM214B	Fam214b	FAM214B
ENSMMUG00000040304	ENSMMUG00000040304.1			
ENSMMUG00000047906	ENSMMUG00000047906.1	MIR518E		MIR518D-1
ENSMMUG00000034531	ENSMMUG00000034531.2	RN7SKP252		RF00100
ENSMMUG00000033467	ENSMMUG00000033467.2			
ENSMMUG00000025144	ENSMMUG00000025144.2	RF00019		RF00019
ENSMMUG00000045785	ENSMMUG00000045785.1			
ENSMMUG00000029933	ENSMMUG00000029933.2			
ENSMMUG00000001471	ENSMMUG00000001471.3	DLGAP1	Dlgap1	
