scaffold,start,end,mid,sites,pi_Arctoides,pi_Sinica,pi_Nemestrina,pi_Fascicularis,dxy_Arctoides_Sinica,dxy_Arctoides_Nemestrina,dxy_Arctoides_Fascicularis,dxy_Sinica_Nemestrina,dxy_Sinica_Fascicularis,dxy_Nemestrina_Fascicularis,Fst_Arctoides_Sinica,Fst_Arctoides_Nemestrina,Fst_Arctoides_Fascicularis,Fst_Sinica_Nemestrina,Fst_Sinica_Fascicularis,Fst_Nemestrina_Fascicularis
chr1,33934779,33947512,33940463,105,0.0323,0.104,0.1312,0.1253,0.1302,0.2304,0.1848,0.2133,0.173,0.2129,0.3316,0.498,0.3953,0.3075,0.2093,0.2588
chr1,33996839,34011975,34002470,146,0.0293,0.0889,0.1428,0.0665,0.1552,0.2429,0.1984,0.2309,0.1871,0.1913,0.4701,0.4987,0.611,0.3515,0.4314,0.3156
chr1,34007064,34078760,34048175,568,0.041,0.0965,0.1346,0.1025,0.1382,0.2141,0.1512,0.2234,0.1855,0.1972,0.3552,0.4397,0.3553,0.3372,0.3121,0.2631
chr1,34119845,34133392,34125051,119,0.0188,0.0814,0.1308,0.0713,0.2057,0.2877,0.287,0.2133,0.2055,0.1987,0.6289,0.6082,0.7233,0.3554,0.4739,0.3473
chr1,34125317,34184936,34152418,256,0.0305,0.0398,0.1913,0.0755,0.111,0.265,0.211,0.241,0.1848,0.2259,0.5407,0.431,0.5973,0.3719,0.5271,0.2806
chr1,34233463,34284327,34261414,126,0.0167,0.1155,0.1213,0.0576,0.2181,0.2179,0.0965,0.2895,0.2322,0.2224,0.5565,0.5407,0.439,0.4407,0.4825,0.4523
chr1,34320694,34348335,34333670,198,0.0092,0.0943,0.1546,0.0525,0.2908,0.2535,0.1182,0.2983,0.2977,0.2552,0.7161,0.5335,0.5757,0.4325,0.6269,0.4538
chr1,34404751,34575214,34498583,643,0.021,0.0889,0.1489,0.0609,0.1941,0.2586,0.2376,0.2271,0.2053,0.2313,0.5802,0.5272,0.7031,0.3317,0.4852,0.4033
chr1,34431072,34441357,34513905,546,0.0211,0.0934,0.1446,0.0633,0.1873,0.2562,0.2313,0.23,0.2018,0.2258,0.5534,0.5329,0.6879,0.3372,0.4607,0.3956
chr1,34450502,34460651,34518671,514,0.0206,0.0946,0.1428,0.0645,0.1891,0.2599,0.2323,0.2319,0.2041,0.2268,0.5547,0.5432,0.6867,0.3422,0.4592,0.3985
chr1,34580932,34714610,34640598,858,0.0361,0.098,0.1276,0.096,0.1601,0.2328,0.1846,0.2103,0.1545,0.2078,0.4306,0.5015,0.4705,0.3203,0.2383,0.3162
chr1,34707938,34726811,34716264,170,0.0962,0.1159,0.1109,0.0898,0.1769,0.2227,0.1888,0.2307,0.1549,0.198,0.2673,0.3858,0.3532,0.3608,0.214,0.3427
chr1,34724511,34758749,34740544,308,0.1007,0.0984,0.1382,0.0844,0.1548,0.1926,0.1668,0.1836,0.1398,0.1947,0.2322,0.2502,0.2999,0.2313,0.2201,0.2904
chr1,34757898,34805971,34780789,351,0.0399,0.1127,0.161,0.0521,0.1759,0.2492,0.1722,0.2319,0.1626,0.2304,0.416,0.4468,0.5866,0.2747,0.3512,0.3981
chr1,34880073,34895418,34887594,140,0.0884,0.0765,0.1381,0.086,0.2014,0.2607,0.239,0.2266,0.1962,0.1732,0.4404,0.4152,0.4791,0.3775,0.4251,0.2292
chr1,34891778,34951269,34921915,368,0.0289,0.0765,0.1325,0.1021,0.1145,0.1968,0.1691,0.1977,0.1647,0.194,0.39,0.4397,0.436,0.3273,0.3038,0.26
chr1,34989236,35045520,35021390,245,0.0663,0.0923,0.1292,0.089,0.131,0.2626,0.2007,0.2531,0.1888,0.2109,0.2624,0.479,0.4503,0.4121,0.3644,0.3358
chr1,35069597,35111408,35095810,213,0.0061,0.0757,0.1761,0.0998,0.11,0.2771,0.2389,0.2593,0.2272,0.227,0.4797,0.527,0.622,0.3664,0.4513,0.2618
chr1,35113145,35245875,35171414,531,0.0388,0.0951,0.1417,0.0984,0.0971,0.2288,0.2063,0.2264,0.206,0.2261,0.197,0.4557,0.499,0.3324,0.3727,0.3235
chr1,35265030,35279484,35273481,136,0.0642,0.1365,0.1151,0.1022,0.1389,0.2201,0.2096,0.2071,0.2085,0.1834,0.1732,0.4424,0.4369,0.2604,0.2868,0.2677
chr1,35269578,35288640,35278512,246,0.0467,0.126,0.1311,0.1072,0.1629,0.2445,0.2164,0.2397,0.2181,0.1936,0.3258,0.4884,0.4751,0.3206,0.3174,0.2508
chr1,35275920,35290889,35281720,158,0.0369,0.1345,0.1336,0.0981,0.1859,0.2557,0.205,0.2669,0.2256,0.1816,0.3895,0.5216,0.502,0.351,0.3364,0.2342
chr1,35320236,35344543,35331721,167,0.0138,0.085,0.1692,0.1126,0.0864,0.1976,0.1793,0.1973,0.1823,0.1991,0.2902,0.3876,0.4659,0.2316,0.3041,0.1832
chr1,35357524,35377923,35368962,147,0.031,0.0546,0.0878,0.1048,0.1662,0.2586,0.235,0.2803,0.2693,0.2232,0.6111,0.6465,0.5462,0.6157,0.5456,0.4069
chr1,35456724,35515553,35490289,405,0.0745,0.0901,0.169,0.0413,0.1886,0.2497,0.2093,0.2186,0.177,0.2004,0.4133,0.3643,0.5901,0.2725,0.4855,0.3436
chr1,35504706,35530927,35516990,238,0.1018,0.0972,0.1204,0.0554,0.229,0.2858,0.2213,0.2504,0.2108,0.2041,0.4151,0.4616,0.4999,0.4151,0.4919,0.4239
chr1,35520934,35532690,35526215,116,0.1,0.0868,0.0949,0.0625,0.2729,0.3494,0.2554,0.2731,0.2386,0.1968,0.5119,0.5852,0.5392,0.5226,0.5427,0.4493
chr1,35537969,35570570,35552812,376,0.0548,0.0455,0.1395,0.0959,0.1553,0.2843,0.2217,0.2499,0.1923,0.2378,0.5334,0.5122,0.4964,0.4813,0.4632,0.3559
chr1,35594834,35608888,35601241,37,0.0857,0.0977,0.1347,0.0927,0.0974,0.1951,0.1581,0.2514,0.2173,0.1889,0.033,0.2958,0.2883,0.3882,0.4042,0.2637
chr1,35603749,35613888,35609337,36,0.0832,0.0149,0.1714,0.068,0.0837,0.228,0.1605,0.172,0.0989,0.1508,0.2779,0.3015,0.3754,0.3162,0.4012,0.1274
chr1,35614586,35659079,35634899,267,0.0835,0.1177,0.135,0.0658,0.1235,0.1992,0.1719,0.2119,0.1842,0.1897,0.1105,0.31,0.4115,0.2698,0.3565,0.3304
chr1,35617784,35627913,35636261,249,0.0841,0.1153,0.133,0.0687,0.119,0.1966,0.1774,0.2108,0.1875,0.1907,0.0957,0.307,0.4144,0.2759,0.3623,0.33
chr1,35666150,35689373,35680854,308,0.0624,0.1512,0.2749,0.0518,0.139,0.2729,0.1059,0.277,0.1558,0.2711,0.1414,0.2521,0.3137,0.1407,0.233,0.2783
chr1,35995722,36095995,36038858,1140,0.0287,0.1207,0.1168,0.0944,0.1824,0.2363,0.2374,0.2324,0.2342,0.1967,0.4399,0.5507,0.5833,0.3429,0.3873,0.3159
chr1,36446763,36456874,36451922,102,0.0903,0.0821,0.1887,0.0475,0.1202,0.2403,0.1561,0.2139,0.146,0.2478,0.177,0.2828,0.4114,0.2404,0.4072,0.3878
chr1,36662029,36680209,36671006,255,0.0216,0.0898,0.138,0.0679,0.1172,0.3021,0.2458,0.3007,0.2475,0.1972,0.3759,0.603,0.6882,0.4722,0.5353,0.3366
chr1,36679171,36711315,36694229,139,0.0118,0.0701,0.1588,0.0865,0.1325,0.2458,0.2455,0.2293,0.2307,0.2248,0.5495,0.5066,0.6553,0.3538,0.5029,0.3144
chr1,36721597,36754785,36739441,161,0.0391,0.1108,0.1312,0.0703,0.1177,0.2197,0.2114,0.2375,0.2261,0.2077,0.2372,0.4627,0.5922,0.3442,0.4493,0.3691
chr1,36744814,36765654,36756978,181,0.035,0.1282,0.1517,0.0976,0.1492,0.2028,0.1851,0.232,0.2183,0.223,0.3111,0.3899,0.4697,0.264,0.3343,0.3005
chr1,36755651,36795436,36774806,376,0.0404,0.132,0.1219,0.0975,0.1727,0.1969,0.1869,0.2165,0.2128,0.2185,0.3538,0.4378,0.4602,0.2778,0.3154,0.3471
chr1,36799391,36828597,36813719,275,0.0348,0.0757,0.1525,0.0954,0.159,0.2066,0.1881,0.2233,0.2083,0.1972,0.5061,0.3969,0.4831,0.3431,0.4269,0.2438
chr1,36877795,36896453,36887703,156,0.0254,0.1316,0.1023,0.0679,0.2417,0.2099,0.122,0.2363,0.2272,0.1807,0.5314,0.5551,0.4446,0.3576,0.414,0.3791
chr1,36887959,36914370,36902690,269,0.0186,0.0793,0.1766,0.0624,0.2073,0.2632,0.1395,0.2562,0.1759,0.2295,0.6383,0.4807,0.5446,0.3536,0.4431,0.3427
chr1,36911915,36971954,36940518,495,0.0534,0.1086,0.156,0.0852,0.1279,0.184,0.1443,0.1863,0.1568,0.193,0.24,0.2925,0.3559,0.1822,0.249,0.2484
chr1,36992569,37008550,37001493,100,0.0465,0.1352,0.1525,0.0652,0.1378,0.2059,0.121,0.2266,0.1599,0.2116,0.2199,0.3683,0.3755,0.2387,0.2486,0.3456
chr1,37002616,37017659,37010862,121,0.0488,0.117,0.15,0.0741,0.1309,0.2749,0.2453,0.2544,0.2487,0.2362,0.2401,0.4906,0.6053,0.3306,0.4663,0.3805
chr1,37007345,37018064,37012884,106,0.0491,0.1145,0.1343,0.0763,0.1212,0.2624,0.2829,0.253,0.2719,0.2377,0.208,0.5038,0.6424,0.3606,0.5011,0.4086
chr1,37012344,37073032,37042804,360,0.0341,0.0918,0.1327,0.09,0.0944,0.2536,0.2602,0.2523,0.2509,0.2671,0.2145,0.5268,0.613,0.405,0.482,0.4315
chr1,37063215,37155156,37110680,514,0.033,0.0856,0.1279,0.099,0.1093,0.2358,0.2228,0.245,0.2223,0.1978,0.3149,0.5131,0.5391,0.414,0.4238,0.2855
chr1,37087262,37097352,37124952,372,0.0306,0.1046,0.1206,0.1022,0.1329,0.2056,0.2022,0.2182,0.2029,0.1852,0.345,0.4839,0.5005,0.3383,0.337,0.2613
chr1,37088043,37098138,37125666,365,0.0303,0.1058,0.119,0.1019,0.1347,0.2059,0.2037,0.2187,0.2044,0.1833,0.3482,0.4896,0.5046,0.3404,0.3385,0.2601
chr1,37154970,37199194,37173947,285,0.0432,0.0643,0.1345,0.1203,0.1642,0.2125,0.2096,0.191,0.2129,0.2044,0.5286,0.4315,0.4359,0.3346,0.3978,0.2432
chr1,37195650,37215051,37205015,171,0.0359,0.091,0.168,0.0942,0.1905,0.2269,0.1872,0.2166,0.1552,0.2024,0.5218,0.4007,0.4821,0.2683,0.2624,0.2302
chr1,37211145,37238329,37229104,218,0.0507,0.0732,0.1822,0.0945,0.1594,0.2201,0.1547,0.2096,0.1642,0.2155,0.4617,0.3268,0.3639,0.2592,0.3316,0.2354
chr1,37246278,37257629,37252032,208,0.0529,0.0706,0.1827,0.0467,0.1001,0.3528,0.1448,0.331,0.1279,0.315,0.2532,0.521,0.5036,0.4682,0.3911,0.5017
chr1,37593795,37603902,37595151,13,0.0,0.2611,0.0256,0.0829,0.1791,0.0922,0.1357,0.2176,0.2548,0.0729,0.1687,0.7716,0.5121,0.2202,0.2152,0.1443
chr1,38020994,38062247,38039935,301,0.0293,0.1207,0.1361,0.0768,0.1256,0.2214,0.2265,0.2301,0.2366,0.2306,0.2691,0.4778,0.6187,0.3016,0.432,0.3906
chr1,38058381,38076800,38066560,98,0.0036,0.098,0.1314,0.0999,0.1219,0.2716,0.2938,0.2476,0.2471,0.222,0.4328,0.6225,0.6852,0.3873,0.4408,0.331
chr1,38071226,38141275,38106589,243,0.0735,0.0885,0.1458,0.0755,0.1753,0.2317,0.2021,0.1858,0.1563,0.1693,0.3883,0.3778,0.4743,0.242,0.326,0.2267
chr1,38114090,38124201,38128649,96,0.1197,0.0649,0.1865,0.0689,0.1145,0.2188,0.1508,0.1737,0.1023,0.176,0.116,0.1896,0.2473,0.1725,0.2177,0.1762
chr1,38142495,38152596,38144949,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chr1,38188671,38210436,38201035,118,0.0395,0.0496,0.1539,0.0654,0.0723,0.2619,0.1612,0.232,0.1219,0.2295,0.2536,0.4824,0.5137,0.4112,0.3667,0.3797
chr1,38340671,38740159,38554560,2649,0.019,0.0721,0.1438,0.0888,0.1185,0.2461,0.2436,0.2418,0.2387,0.2343,0.4664,0.5247,0.6295,0.4036,0.5056,0.3565
chr1,38388556,38398661,38579772,2343,0.0153,0.0711,0.1435,0.0894,0.1214,0.2485,0.2472,0.2441,0.2426,0.2382,0.4968,0.5375,0.6406,0.4103,0.5122,0.3632
chr1,38422794,38432926,38594606,2159,0.0156,0.0738,0.1417,0.091,0.1192,0.2461,0.2452,0.2428,0.2413,0.2381,0.4761,0.5373,0.6331,0.406,0.5006,0.3631
chr1,38826189,38854005,38838708,227,0.018,0.0633,0.1215,0.1146,0.133,0.2608,0.2029,0.2462,0.1896,0.229,0.5533,0.5989,0.4958,0.4759,0.3644,0.3322
chr1,38834923,38845058,38842487,141,0.0217,0.0576,0.1183,0.1159,0.1415,0.2632,0.1905,0.2509,0.1804,0.2253,0.5837,0.6008,0.4596,0.5026,0.3523,0.3281
chr1,38901774,38924185,38912212,130,0.0334,0.0977,0.1154,0.077,0.1228,0.2917,0.2203,0.2634,0.1849,0.2078,0.3229,0.6145,0.599,0.4453,0.3745,0.3863
chr1,38931224,38959679,38943749,289,0.0464,0.0864,0.1371,0.0901,0.1545,0.2501,0.21,0.2211,0.2105,0.2121,0.42,0.4849,0.5116,0.3479,0.4214,0.3202
chr1,38953194,38976953,38966375,188,0.0792,0.067,0.1527,0.0716,0.1242,0.2622,0.2014,0.2456,0.1878,0.212,0.2758,0.4076,0.4704,0.4025,0.4729,0.3312
chr1,38999700,39009762,39000356,33,0.0747,0.1125,0.2042,0.0518,0.2344,0.2552,0.2244,0.2361,0.2208,0.2531,0.4506,0.3116,0.5797,0.2113,0.4846,0.3605
chr1,39015066,39050610,39035400,413,0.0585,0.0865,0.1669,0.0727,0.1377,0.2005,0.126,0.216,0.1666,0.216,0.3291,0.2981,0.3238,0.2776,0.3685,0.3098
chr1,39103224,39164831,39126666,307,0.0602,0.0271,0.1458,0.101,0.181,0.2664,0.2336,0.2688,0.2277,0.2422,0.6318,0.4638,0.4914,0.535,0.5547,0.3428
chr1,39152905,39163018,39159729,65,0.0952,0.0388,0.1959,0.0779,0.1491,0.2981,0.2105,0.2751,0.1965,0.2732,0.4003,0.3638,0.4338,0.423,0.5435,0.3588
chr1,39168138,39185227,39177195,147,0.1103,0.0738,0.1147,0.074,0.1807,0.1878,0.2111,0.1763,0.2092,0.1624,0.3443,0.2675,0.4119,0.322,0.4912,0.2818
chr1,39256578,39272010,39266347,93,0.0785,0.0809,0.1603,0.0777,0.1696,0.2413,0.2418,0.1949,0.2116,0.2323,0.3809,0.3576,0.5253,0.2516,0.4688,0.3457
chr1,39329287,39373046,39354594,262,0.0778,0.1007,0.1742,0.0586,0.1602,0.2728,0.2316,0.2458,0.1986,0.1808,0.3025,0.3885,0.5633,0.3006,0.4504,0.239
chr1,39362912,39403027,39377209,163,0.0647,0.0902,0.1682,0.0598,0.1563,0.2339,0.1837,0.2321,0.1848,0.1865,0.3568,0.3547,0.5084,0.3027,0.4428,0.2644
chr1,39461902,39554750,39512376,416,0.0379,0.0585,0.1399,0.1007,0.199,0.2969,0.2749,0.2855,0.2674,0.246,0.6305,0.5607,0.5953,0.506,0.5453,0.3609
chr1,39481069,39491176,39521248,343,0.0387,0.0595,0.1432,0.0954,0.2034,0.3043,0.2807,0.3035,0.2841,0.2417,0.6318,0.5613,0.6131,0.5211,0.5767,0.3577
chr1,39537248,39547360,39547773,87,0.0459,0.0591,0.1462,0.0906,0.2113,0.2988,0.2718,0.2841,0.2706,0.2476,0.6225,0.5352,0.6006,0.4909,0.5725,0.3733
chr1,39551933,39566728,39557555,42,0.0687,0.0382,0.1106,0.1054,0.1865,0.3631,0.3751,0.2448,0.2491,0.2116,0.5758,0.6246,0.6287,0.5555,0.5497,0.3367
chr1,39564228,39622203,39595410,209,0.0634,0.0849,0.1334,0.0846,0.1501,0.2024,0.1744,0.2254,0.1907,0.1955,0.3585,0.3658,0.412,0.3676,0.3973,0.3019
chr1,39618855,39646495,39631578,352,0.0732,0.0801,0.1145,0.0998,0.1884,0.2073,0.2154,0.201,0.1868,0.2017,0.4427,0.3972,0.4347,0.3675,0.3586,0.3198
chr1,39676636,39733730,39704815,450,0.0337,0.0801,0.1455,0.0898,0.1995,0.2456,0.2105,0.2402,0.2015,0.2131,0.5777,0.4872,0.5441,0.3812,0.4179,0.3068
chr1,39753943,39771971,39762254,93,0.1171,0.0492,0.1482,0.0673,0.1838,0.255,0.2109,0.2546,0.2115,0.2081,0.3975,0.3348,0.4139,0.4629,0.5758,0.3417
chr1,39779349,39812130,39793825,155,0.0587,0.1488,0.1252,0.0741,0.16,0.1853,0.1415,0.2373,0.1886,0.1725,0.2281,0.3563,0.3698,0.2854,0.2773,0.2859
chr1,39809805,39827908,39817458,116,0.0503,0.0893,0.1338,0.0926,0.1788,0.2119,0.1775,0.2294,0.2095,0.2024,0.46,0.4152,0.429,0.3655,0.4068,0.2991
chr1,39830990,39859362,39848286,155,0.0189,0.1017,0.1511,0.0831,0.162,0.2534,0.2109,0.2212,0.1861,0.2007,0.4788,0.5194,0.6026,0.2904,0.3518,0.2821
chr1,39918689,39977174,39947232,460,0.0075,0.0811,0.1407,0.1067,0.1546,0.2243,0.1885,0.2234,0.1937,0.2145,0.5758,0.525,0.5191,0.3564,0.3548,0.2833
chr1,40006018,40085204,40048011,635,0.0313,0.0347,0.156,0.1159,0.1414,0.2368,0.2177,0.2411,0.2139,0.2378,0.6415,0.4545,0.4881,0.4545,0.474,0.2875
chr1,40054280,40064372,40069906,279,0.024,0.0383,0.1535,0.1103,0.1588,0.2495,0.2459,0.2309,0.2118,0.2409,0.6908,0.4971,0.5627,0.4342,0.4771,0.3085
chr1,40057234,40067323,40070296,271,0.0245,0.035,0.1544,0.1114,0.1592,0.2523,0.2481,0.2305,0.2121,0.2399,0.704,0.4983,0.5617,0.439,0.4824,0.3031
chr1,40083984,40149659,40117544,714,0.0661,0.072,0.1483,0.0781,0.1306,0.2037,0.1814,0.2018,0.1779,0.1968,0.3269,0.3293,0.4413,0.3122,0.4178,0.2894
chr1,40106313,40116611,40127981,495,0.0798,0.0731,0.152,0.0758,0.1242,0.196,0.1607,0.187,0.1532,0.1823,0.2543,0.2738,0.3606,0.265,0.3575,0.2493
chr1,40163106,40173601,40167735,47,0.0287,0.0718,0.138,0.0384,0.1154,0.2811,0.3463,0.2128,0.3387,0.2928,0.4145,0.5642,0.8281,0.3594,0.7394,0.571
chr1,40291728,40329807,40314384,339,0.0714,0.1119,0.1555,0.0654,0.1186,0.2641,0.2064,0.2594,0.2025,0.2376,0.1383,0.4201,0.5173,0.3389,0.4132,0.392
chr1,40325117,40341124,40331947,256,0.0407,0.1109,0.1412,0.0742,0.0864,0.2257,0.2356,0.2442,0.2415,0.2576,0.0709,0.447,0.6109,0.3384,0.4664,0.4343
chr1,40336980,40513503,40413643,536,0.0605,0.0488,0.1071,0.1086,0.0895,0.2411,0.2747,0.2412,0.2708,0.262,0.2582,0.5061,0.5327,0.5334,0.5499,0.4296
chr1,40681995,40713027,40697929,290,0.0268,0.0789,0.1429,0.0823,0.1026,0.2354,0.1762,0.2408,0.169,0.2126,0.3393,0.4919,0.5232,0.3897,0.3656,0.3277
chr1,40801749,40817591,40810881,183,0.0185,0.1049,0.1671,0.0688,0.1112,0.2302,0.1869,0.2304,0.1824,0.2455,0.3041,0.4468,0.6152,0.2746,0.3742,0.3777
chr1,40829208,40967942,40890854,1283,0.0431,0.1017,0.1457,0.0832,0.1383,0.2231,0.1936,0.211,0.1801,0.2048,0.3319,0.4266,0.5106,0.278,0.3368,0.3025
chr1,41493188,41505561,41499243,86,0.0413,0.1296,0.148,0.065,0.1298,0.1711,0.1349,0.2274,0.179,0.1644,0.2204,0.3059,0.4399,0.2582,0.3173,0.2327
chr1,41502765,41514857,41510418,141,0.0566,0.059,0.1544,0.0841,0.1746,0.2516,0.1903,0.2427,0.1865,0.1959,0.5242,0.4301,0.4666,0.4101,0.4526,0.2613
chr1,41516684,41667060,41589133,663,0.0093,0.0478,0.1246,0.0781,0.1699,0.2469,0.2639,0.2579,0.2652,0.2658,0.7301,0.5945,0.7049,0.5208,0.621,0.4695
chr1,41716637,41760526,41739357,313,0.0599,0.0815,0.1327,0.1108,0.1675,0.2561,0.2099,0.2401,0.1991,0.2128,0.4274,0.4752,0.4248,0.4037,0.356,0.2857
chr1,41764475,41800319,41782418,226,0.0181,0.1296,0.1315,0.0759,0.1609,0.1823,0.1595,0.1853,0.1681,0.1801,0.3915,0.4394,0.5372,0.1861,0.2586,0.2877
chr1,41797284,41999692,41889727,651,0.0484,0.1082,0.1606,0.0883,0.179,0.223,0.1829,0.2039,0.1826,0.1991,0.4125,0.3821,0.4591,0.2202,0.315,0.2481
chr1,41902387,41912490,41962629,240,0.0955,0.1173,0.1448,0.1171,0.2039,0.2161,0.2055,0.199,0.2108,0.2224,0.3331,0.3034,0.3267,0.2202,0.2963,0.2721
chr1,41993262,42020965,42005290,162,0.0637,0.0636,0.1538,0.0806,0.1613,0.2146,0.1916,0.1931,0.1743,0.2216,0.4556,0.3468,0.4622,0.2977,0.424,0.3297
chr1,42082298,42112391,42095129,290,0.0553,0.1143,0.1554,0.0979,0.1739,0.2225,0.1546,0.2053,0.1914,0.2284,0.3645,0.3776,0.3407,0.2218,0.3003,0.3046
chr1,42102620,42121310,42112076,136,0.13,0.1333,0.1133,0.0756,0.1454,0.1734,0.1346,0.1727,0.1336,0.1436,0.0541,0.1885,0.1447,0.1796,0.1328,0.2202
chr1,42141550,42164259,42151002,119,0.0479,0.0611,0.141,0.116,0.1386,0.2572,0.2463,0.2484,0.2241,0.2582,0.457,0.4844,0.4996,0.4429,0.436,0.3505
chr1,42173639,42254459,42218980,220,0.0546,0.0735,0.1556,0.1029,0.1272,0.1786,0.1849,0.1838,0.1809,0.1978,0.35,0.2761,0.4052,0.2482,0.3512,0.2236
chr1,42246038,42266676,42252853,157,0.0481,0.0649,0.1068,0.135,0.0939,0.1785,0.2089,0.1769,0.1983,0.1674,0.2653,0.4156,0.3876,0.3663,0.3307,0.1664
chr1,42318784,42364291,42340473,485,0.0468,0.0848,0.1826,0.0932,0.1687,0.2134,0.2187,0.1901,0.1831,0.1966,0.4602,0.3193,0.5168,0.1869,0.3563,0.1905
chr1,42385148,42395255,42390937,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chr1,42421653,42431742,42424509,25,0.0,0.0499,0.1713,0.1119,0.2412,0.1634,0.184,0.2594,0.264,0.2313,0.8253,0.3312,0.5138,0.4233,0.5309,0.2563
chr1,42640272,42661700,42650344,206,0.0395,0.0949,0.1055,0.0797,0.1691,0.1802,0.1929,0.1857,0.1983,0.1616,0.4526,0.4475,0.5295,0.3178,0.4045,0.2865
chr1,42657855,42677749,42666911,146,0.0563,0.0455,0.156,0.1094,0.1284,0.1929,0.172,0.1934,0.1727,0.1863,0.4535,0.3085,0.3517,0.3342,0.3798,0.1793
chr1,42668021,42753830,42715737,588,0.0818,0.0659,0.1337,0.0953,0.1357,0.2018,0.1984,0.193,0.1863,0.198,0.3137,0.3225,0.3929,0.3375,0.4026,0.2826
chr1,42687183,42697303,42725891,472,0.0822,0.0742,0.1315,0.0904,0.141,0.2062,0.2035,0.1928,0.1855,0.2045,0.3046,0.3367,0.4158,0.323,0.3947,0.3137
chr1,42689472,42699579,42725891,472,0.0822,0.0742,0.1315,0.0904,0.141,0.2062,0.2035,0.1928,0.1855,0.2045,0.3046,0.3367,0.4158,0.323,0.3947,0.3137
chr1,42758469,42772134,42766580,163,0.03,0.1151,0.1431,0.096,0.1388,0.2126,0.2195,0.2088,0.2045,0.2287,0.3324,0.4425,0.5495,0.252,0.3339,0.3313
chr1,42768855,42784825,42774978,125,0.0469,0.1178,0.1376,0.0748,0.1529,0.2071,0.2251,0.1967,0.2097,0.2575,0.3185,0.4045,0.5797,0.2274,0.3907,0.4396
chr1,42789980,42823164,42806362,300,0.094,0.105,0.1124,0.0829,0.1415,0.2709,0.2537,0.2409,0.2313,0.1906,0.1872,0.4699,0.4986,0.3988,0.4397,0.3392
chr1,42821596,42846407,42833375,129,0.0742,0.0887,0.1649,0.0536,0.1094,0.2795,0.1622,0.271,0.1592,0.2143,0.1573,0.4218,0.4538,0.3827,0.4035,0.3536
chr1,42842843,42861734,42852607,129,0.0336,0.093,0.1433,0.0792,0.1427,0.2449,0.2629,0.2492,0.2711,0.2418,0.4062,0.4911,0.6462,0.3769,0.534,0.3924
chr1,42847590,42859293,42853464,113,0.0346,0.0981,0.1408,0.0832,0.1265,0.2419,0.2723,0.2614,0.2849,0.2529,0.3312,0.4896,0.6434,0.3933,0.5336,0.4078
chr1,42866389,42884059,42874177,185,0.009,0.1066,0.126,0.0965,0.1131,0.268,0.234,0.2781,0.2364,0.2463,0.3428,0.6184,0.6183,0.4315,0.4135,0.3949
chr1,42874068,42946534,42916346,769,0.0133,0.0866,0.128,0.0925,0.1707,0.2398,0.2266,0.2482,0.2335,0.2306,0.5688,0.5664,0.6101,0.4174,0.4577,0.3708
chr1,42935899,42949365,42941582,174,0.0127,0.0909,0.1283,0.0819,0.2432,0.2157,0.2444,0.2352,0.2673,0.2255,0.6683,0.529,0.6656,0.3846,0.5267,0.3841
chr1,43016489,43119129,43069855,1413,0.0649,0.0702,0.152,0.0774,0.1265,0.2225,0.2165,0.2173,0.2084,0.2241,0.3224,0.3646,0.5155,0.3428,0.4885,0.3453
chr1,43140415,43203653,43175573,503,0.0123,0.0726,0.1473,0.0636,0.092,0.2857,0.2278,0.2924,0.2408,0.2823,0.3887,0.5845,0.7063,0.4749,0.5744,0.4838
chr1,43206256,43216346,43209933,10,nan,nan,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chr1,43229025,43438549,43354601,1171,0.0327,0.0821,0.1394,0.0842,0.1462,0.2297,0.2116,0.23,0.2057,0.2189,0.4577,0.4766,0.5652,0.3701,0.4368,0.3436
chr1,43429362,43445229,43436476,115,0.0483,0.076,0.1279,0.0855,0.12,0.3188,0.3199,0.2748,0.2809,0.2539,0.3366,0.5881,0.6574,0.4803,0.5644,0.4281
chr1,43445210,43476890,43463317,304,0.0368,0.0963,0.1278,0.0679,0.1312,0.2156,0.1759,0.2128,0.1738,0.198,0.3463,0.4688,0.5441,0.3291,0.3766,0.3607
chr1,43468411,43483105,43475820,212,0.0251,0.0884,0.1419,0.071,0.1267,0.2115,0.1771,0.191,0.1553,0.1901,0.4024,0.4553,0.5703,0.2644,0.3372,0.3033
chr1,43473459,43487275,43479806,197,0.0266,0.077,0.1395,0.0787,0.1011,0.2187,0.1857,0.2074,0.1773,0.1835,0.342,0.4711,0.5545,0.3333,0.4021,0.2724
chr1,43478546,43500293,43488521,264,0.0368,0.1019,0.1556,0.0725,0.1072,0.2255,0.1632,0.2238,0.1575,0.1924,0.2292,0.4229,0.5,0.287,0.3033,0.2765
chr1,43490290,43504953,43498443,193,0.0382,0.1366,0.1492,0.0756,0.15,0.216,0.1438,0.2168,0.1606,0.187,0.281,0.416,0.4352,0.2199,0.2204,0.2686
chr1,43490353,43540559,43516033,575,0.0448,0.1111,0.1426,0.0762,0.1334,0.2264,0.1608,0.2179,0.1626,0.2068,0.2799,0.4359,0.4575,0.2816,0.2852,0.3292
